raceId,constructorId,mean_pit_stop
883,208,22.441
884,1,19.569
884,3,19.843
884,5,21.849
884,6,19.255
884,9,19.06
884,10,27.07
884,15,21.654
884,131,20.015
884,206,22.657
884,207,21.304
884,208,19.968
885,1,24.629
885,3,31.905
885,5,25.026
885,6,24.91
885,9,24.346
885,10,25.458
885,15,25.421
885,131,25.0
885,206,24.28
885,207,28.879
885,208,28.522
886,1,20.481
886,3,21.46
886,5,21.294
886,6,20.498
886,9,21.29
886,10,19.836
886,15,21.544
886,131,20.99
886,206,21.376
886,207,23.691
886,208,22.538
887,1,24.682
887,3,28.15
887,5,27.852
887,6,26.22
887,9,25.791
887,10,26.694
887,15,27.028
887,131,25.796
887,206,25.847
887,207,26.256
887,208,24.961
888,1,20.342
888,3,34.004
888,5,20.785
888,6,19.738
888,9,43.348
888,10,20.789
888,15,20.499
888,131,19.951
888,206,20.648
888,207,21.749
888,208,19.861
890,1,22.412
890,3,22.683
890,5,22.962
890,6,21.996
890,9,21.834
890,10,22.835
890,15,20.962
890,131,21.988
890,206,22.548
890,207,22.666
890,208,21.172
891,1,21.439
891,3,28.026
891,5,23.656
891,6,22.645
891,9,23.012
891,10,23.499
891,15,22.092
891,131,23.174
891,206,22.68
891,207,24.483
891,208,23.594
892,1,25.191
892,3,25.031
892,5,24.319
892,6,24.45
892,9,24.255
892,10,26.873
892,15,25.15
892,131,24.285
892,206,25.844
892,207,27.858
892,208,27.593
893,1,29.368
893,3,31.167
893,5,30.636
893,6,29.272
893,9,28.915
893,10,30.104
893,15,30.308
893,131,29.486
893,206,30.345
893,207,32.233
893,208,39.097
894,1,28.672
894,3,23.816
894,5,23.885
894,6,22.472
894,9,22.878
894,10,31.846
894,15,23.568
894,131,27.591
894,206,24.243
894,207,22.947
894,208,22.862
895,1,25.424
895,3,23.658
895,5,23.561
895,6,21.825
895,9,23.055
895,10,23.655
895,15,23.571
895,131,22.247
895,206,24.01
895,207,22.232
895,208,23.243
896,1,24.099
896,3,26.342
896,5,24.61
896,6,24.874
896,9,23.628
896,10,23.859
896,15,24.414
896,131,23.675
896,206,27.13
896,207,28.026
896,208,24.926
897,1,22.891
897,3,24.084
897,5,22.67
897,6,21.696
897,9,21.665
897,10,22.159
897,15,21.226
897,131,21.567
897,206,23.483
897,207,22.906
897,208,21.956
898,1,24.198
898,3,28.904
898,5,24.304
898,6,23.956
898,9,23.812
898,10,24.679
898,15,24.639
898,131,23.855
898,206,23.078
898,207,23.843
898,208,28.511
899,1,22.88
899,3,24.549
899,5,23.43
899,6,21.57
899,9,26.785
899,10,23.342
899,15,23.53
899,131,22.109
899,206,23.958
899,207,23.069
899,208,22.832
900,1,22.558
900,3,29.019
900,5,25.134
900,6,23.058
900,9,22.71
900,10,23.222
900,15,26.92
900,131,24.002
900,206,23.545
900,207,23.238
900,208,20.789
901,1,27.764
901,3,24.704
901,5,30.02
901,6,24.732
901,9,37.792
901,10,25.112
901,15,26.809
901,131,24.841
901,206,33.878
901,207,27.243
901,208,25.459
902,1,24.893
902,3,25.181
902,5,27.308
902,6,24.953
902,9,25.168
902,10,24.658
902,15,29.304
902,131,24.898
902,206,25.599
902,207,26.234
902,208,27.839
903,1,22.801
903,3,37.632
903,5,23.921
903,6,23.002
903,9,22.625
903,10,23.188
903,15,22.991
903,131,23.333
903,206,24.13
903,207,24.397
903,208,23.415
904,1,22.47
904,3,22.62
904,5,22.876
904,6,22.086
904,9,21.796
904,10,22.432
904,15,24.452
904,131,22.776
904,206,23.33
904,207,24.184
904,208,23.52
905,1,27.468
905,3,24.929
905,5,22.414
905,6,27.34
905,9,46.324
905,10,25.714
905,15,29.556
905,131,26.09
905,206,32.305
905,207,26.053
905,208,25.67
906,1,23.982
906,3,24.975
906,5,24.835
906,6,23.967
906,9,23.531
906,10,23.904
906,15,24.262
906,131,24.239
906,208,23.9
907,1,21.575
907,3,21.833
907,5,22.171
907,6,21.51
907,9,23.522
907,10,22.474
907,15,30.446
907,131,21.98
907,206,23.714
907,207,23.612
907,208,23.013
908,1,28.695
908,3,29.104
908,5,29.164
908,6,34.41
908,9,28.609
908,10,29.589
908,15,29.956
908,131,29.1
908,206,27.748
908,207,29.524
908,208,29.27
909,1,20.86
909,3,20.16
909,5,21.596
909,6,19.476
909,9,19.137
909,10,20.131
