year,race_name,constructor_name,total_stops,mean_pit_stop,delta_pit_stop,race_points,season_points,championship_standing,target_top5
2011,Hungarian Grand Prix,Sauber,7,20.677,-1.416,0.0,35.0,6.0,0
2011,Hungarian Grand Prix,Force India,7,21.398,-0.695,6.0,26.0,7.0,0
2011,Hungarian Grand Prix,Toro Rosso,6,21.967,-0.126,5.0,22.0,8.0,0
2011,Hungarian Grand Prix,Williams,10,22.642,0.549,0.0,4.0,9.0,0
2011,Hungarian Grand Prix,Lotus,6,22.184,0.091,0.0,0.0,10.0,0
2011,Hungarian Grand Prix,HRT,8,23.437,1.344,0.0,0.0,11.0,0
2011,Hungarian Grand Prix,Virgin,7,26.048,3.955,0.0,0.0,12.0,0
2011,Belgian Grand Prix,Red Bull,5,21.011,-1.805,43.0,426.0,1.0,1
2011,Belgian Grand Prix,McLaren,4,22.834,0.018,15.0,295.0,2.0,1
2011,Belgian Grand Prix,Ferrari,5,21.569,-1.247,16.0,231.0,3.0,1
2011,Belgian Grand Prix,Mercedes,5,21.192,-1.624,18.0,98.0,4.0,1
2011,Belgian Grand Prix,Renault,5,21.779,-1.037,2.0,68.0,5.0,1
2011,Belgian Grand Prix,Sauber,5,21.899,-0.917,0.0,35.0,6.0,0
2011,Belgian Grand Prix,Force India,4,21.61,-1.206,6.0,32.0,7.0,0
2011,Belgian Grand Prix,Williams,5,26.955,4.139,1.0,5.0,9.0,0
2011,Belgian Grand Prix,Lotus,5,23.299,0.483,0.0,0.0,10.0,0
2011,Belgian Grand Prix,HRT,3,25.502,2.686,0.0,0.0,11.0,0
2011,Belgian Grand Prix,Virgin,6,23.331,0.515,0.0,0.0,12.0,0
2011,Italian Grand Prix,Red Bull,2,21.751,-42.656,25.0,451.0,1.0,1
2011,Italian Grand Prix,McLaren,4,21.928,-42.479,30.0,325.0,2.0,1
2011,Italian Grand Prix,Ferrari,4,22.124,-42.283,23.0,254.0,3.0,1
2011,Italian Grand Prix,Mercedes,2,22.362,-42.045,10.0,108.0,4.0,1
2011,Italian Grand Prix,Renault,3,22.651,-41.756,2.0,70.0,5.0,1
